algorithm,battery_capacity_seconds,completed_job_ratio,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,horizon_sec,parameter_key,parameter_label,parameter_value,satellite_solar_panel_power_watts,slot_len,slots,task_average_deadline,task_average_execution,task_average_period,time_slot_length,wall_clock_sec
edf,0.5,0.29464285714285715,0.3518758591556417,10000000000.0,1.2e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.2e-08,14,60,60,30,50,220,60,0.007594875000002332
random,0.5,0.32837301587301587,0.375239276083723,10000000000.0,1.2e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.2e-08,14,60,60,30,50,220,60,0.00886874999999776
maxflow_preflow_push,0.5,0.38492063492063494,0.4385002708782131,10000000000.0,1.4e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.4e-08,14,60,60,30,50,220,60,0.7190470829999995
energy_first,0.5,0.06349206349206349,0.4385002708782085,10000000000.0,1.4e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.4e-08,14,60,60,30,50,220,60,0.009395749999995928
edf,0.5,0.04563492063492063,0.4333113230191592,10000000000.0,1.4e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.4e-08,14,60,60,30,50,220,60,0.007051000000004137
random,0.5,0.1498015873015873,0.3413139594900696,10000000000.0,1.4e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.4e-08,14,60,60,30,50,220,60,0.008777833000003454
maxflow_preflow_push,0.5,0.3263888888888889,0.38411883502117017,10000000000.0,1.6e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.6e-08,14,60,60,30,50,220,60,0.761524707999996
energy_first,0.5,0.0,0.3841188350211663,10000000000.0,1.6e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.6e-08,14,60,60,30,50,220,60,0.008989374999998745
edf,0.5,0.00496031746031746,0.38546470195653004,10000000000.0,1.6e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.6e-08,14,60,60,30,50,220,60,0.006976749999999754
random,0.5,0.005952380952380952,0.30104835296717886,10000000000.0,1.6e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.6e-08,14,60,60,30,50,220,60,0.008448000000001343
maxflow_preflow_push,0.5,0.25,0.3079848248213123,10000000000.0,2e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,2e-08,14,60,60,30,50,220,60,0.7254761670000036
energy_first,0.5,0.0,0.3079848248213091,10000000000.0,2e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,2e-08,14,60,60,30,50,220,60,0.009062290999999334
edf,0.5,0.00496031746031746,0.30897740168613996,10000000000.0,2e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,2e-08,14,60,60,30,50,220,60,0.007054125000003353
random,0.5,0.005952380952380952,0.24310878139976996,10000000000.0,2e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,2e-08,14,60,60,30,50,220,60,0.008546000000002607
maxflow_preflow_push,0.5,0.38492063492063494,0.4385002708782131,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),10,10,60,60,30,50,220,60,0.7219414169999965
energy_first,0.5,0.06349206349206349,0.4385002708782085,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),10,10,60,60,30,50,220,60,0.009102499999997349
edf,0.5,0.04563492063492063,0.4333113230191592,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),10,10,60,60,30,50,220,60,0.0070157920000042395
